Company,Location,JobUrl,Job title
Hireginie Talent Cloud Pvt Ltd,"Mumbai, Maharashtra",https://in.indeed.com/company/Hireginie-Talent-Cloud-Pvt-Ltd/jobs/Data-Analyst-c8f8f0f71e2d5044?fccid=2399a832425751df&vjs=3,Data Analyst
PIPETECH SERVICES PVT LTD,"Mumbai, Maharashtra",https://in.indeed.com/company/PIPETECH-SERVICES-PVT-LTD/jobs/Data-Analyst-9019b52ba0a4618f?fccid=8a52fbffd52238d1&vjs=3,Data Analyst
Recruit Assist,"Mumbai, Maharashtra",https://in.indeed.com/company/CA-Firm---Rourkela/jobs/Data-Research-Analyst-71ad0485f80833d4?fccid=a74fa4f2572c6e83&vjs=3,Data Analyst
Morgan Stanley,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=555269f2e4ca88b8&fccid=0c39fb2c91742dcf&vjs=3,Data Analyst
Visible Alpha,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=d401668b639d051f&fccid=aa8c74044d03a5c2&vjs=3,Data Analyst
Experian,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=a1ac56b8ac486485&fccid=75a3a5a15b202084&vjs=3,Data Analyst
Incubit Global Business Services Pvt. Ltd.,"Mumbai, Maharashtra",https://in.indeed.com/company/Incubit-Global-Business-Services-Pvt.-Ltd./jobs/Data-Business-Analyst-d0b1d7e68d3c57c3?fccid=c0c3ae76f9a3e532&vjs=3,Data Analyst
Morningstar,"Mumbai, Maharashtra",https://in.indeed.com/rc/clk?jk=7fac344632fcca65&fccid=acfb0b086b8f975d&vjs=3,Data Analyst
Eureka outsourcing,"Mumbai, Maharashtra",https://in.indeed.com/company/eureka-outsourcing/jobs/Data-Analyst-a8bbbd5ab070141a?fccid=613af95c3a9e6c2f&vjs=3,Data Analyst
LEADS 2 BUSINESS SOLUTIONS P LTD,"Thane, Maharashtra+2 locations",https://in.indeed.com/company/LEADS-2-BUSINESS/jobs/Data-Analyst-6a61bb01cf1e725d?fccid=e9e99867fa0ea29d&vjs=3,Data Analyst
